state,region
AL,Atlanta
AK,Seattle
AS,Seattle
AZ,Denver
AR,Kansas City
CA,San Fransisco
CO,Denver
CT,Boston
DE,Philadelphia
FL,Atlanta
GA,Atlanta
GU,Seattle
HI,Seattle
ID,Seattle
IL,Chicago
IN,Chicago
IA,Chicago
KS,Kansas City
KY,Philadelphia
LA,Dallas
ME,Boston
MD,Philadelphia
MA,Boston
MI,Cleveland
MN,Chicago
MS,Dallas
MO,Kansas City
MT,Seattle
NE,Kansas City
NV,Seattle
NH,Boston
NJ,New York
NM,Denver
NY,New York
NC,DC
ND,Chicago
MP,Seattle
OH,Cleveland
OK,Kansas City
OR,Seattle
PA,Philadelphia
PR,New York
RI,Boston
SC,DC
SD,Kansas City
TN,Atlanta
TX,Dallas
UT,Denver
VT,Boston
VI,New York
VA,DC
WA,Seattle
DC,DC
WV,Philadelphia
WI,Chicago
WY,Denver
