sentence_index,punct_index,speaker_label,start_time,end_time,sentence
0,0,spk_1,7.141,7.521,All right .
1,1,spk_0,7.521,12.851,"Remember , we talked about sponges who remembers what we said about the way sponges eat ."
2,2,spk_0,13.441,15.181,I'm gonna get you guys to it as a class .
3,3,spk_0,15.191,17.611,We know that they the water goes
4,3,spk_1,19.341,21.361,i
5,3,spk_0,21.371,22.721,only see half of you doing it .
6,4,spk_0,22.721,23.341,Let's do that .
7,5,spk_0,23.421,27.611,The water goes teo
8,5,spk_1,27.621,28.181,job
9,5,spk_0,28.191,28.541,for you .
10,6,spk_0,28.551,28.941,Okay .
11,7,spk_0,28.941,32.441,We also talked about midair ian's .
12,8,spk_0,32.631,34.811,"Okay , remember the dairy ins ?"
13,9,spk_0,35.741,38.681,"What did i teach you to remember the dairy ines , how did they act ?"
14,10,spk_0,38.771,39.951,No polyps act .
15,11,spk_0,41.041,41.801,Go ahead and do it .
16,12,spk_0,41.921,42.281,I don't .
17,13,spk_0,42.281,44.801,You remember tell us
18,13,spk_1,45.661,47.491,your tentacles are at the top .
19,14,spk_0,47.701,50.061,That and what else in the middle of tentacles .
20,15,spk_0,51.101,52.751,Let me see those scallops .
21,16,spk_0,53.141,67.211,"Do i have to say raise your hands and gracia tentacles in the air and wave them like you just don't care and all the polyps in the rooms say , oh , yeah , you go ."
22,17,spk_0,67.221,72.851,"Okay , today we're going to talk about what what's the next file and we're gonna talk about who remembers ?"
23,18,spk_1,76.041,76.521,"No ,"
24,18,spk_0,76.531,77.401,not molluscs .
25,19,spk_0,77.501,78.751,"I heard someone say it ,"
26,19,spk_1,81.581,82.141,"senator ,"
27,19,spk_0,82.641,83.561,not the terrians .
28,20,spk_0,83.561,84.951,We talked about those already .
29,21,spk_0,86.351,88.481,Now you just grasping at straws .
30,22,spk_1,89.241,92.211,"Wait ,"
31,22,spk_0,92.211,93.951,talk about worms today .
32,23,spk_0,94.541,95.891,We don't talk about worms .
33,24,spk_0,95.901,97.221,They say nice and loud .
34,25,spk_0,101.191,104.351,Okay raise your hand if you've ever held a worm in your hands
35,25,spk_1,105.841,106.401,okay
36,25,spk_0,106.601,119.221,raise your hand if you've ever seen worms after the rain oh you guys know about worms raise your hand if you've ever eaten worms you had words what kind
37,25,spk_1,119.391,120.061,i don't know
38,25,spk_0,121.668,122.568,okay
39,25,spk_1,123.748,124.118,no
40,25,spk_0,124.128,144.518,gummy berms don't count all right we're gonna remember what we did our group work and we did our little posters whose turn is it to produce today who did sweat worms was count yes what you guys go to your poster please and tell us a little bit about worms all right tell us about your flatworms what's an example for flatworm
41,25,spk_1,149.828,150.048,that
42,25,spk_0,150.048,155.618,is correct nice now the culinary in and give me some facts about flynn arians and other flatworms please
43,25,spk_1,158.398,169.868,where is that worm's aircraft worms are classified in many different films forms have more complex structures then sponges the more well known members of the files are the
44,25,spk_0,171.808,172.488,paris
45,25,spk_1,173.608,175.358,tapeworms and parasitic
46,25,spk_0,175.358,176.908,tapeworms and
