sentence_index,text_blob_score,vader_polarity_neg,vader_polarity_neu,vader_polarity_pos
0,0.2857142857142857,0.0,1.0,0.0
1,0.0,0.0,1.0,0.0
2,0.0,0.0,1.0,0.0
3,0.0,0.0,1.0,0.0
4,0.0,0.0,0.0,0.0
5,-0.08333333333333333,0.0,1.0,0.0
6,0.0,0.0,1.0,0.0
7,0.0,0.0,1.0,0.0
8,0.0,0.0,1.0,0.0
9,0.0,0.0,1.0,0.0
10,0.5,0.0,0.0,1.0
11,0.0,0.0,1.0,0.0
12,0.5,0.0,0.678,0.322
13,0.0,0.0,1.0,0.0
14,0.0,0.524,0.476,0.0
15,0.0,0.0,1.0,0.0
16,0.0,0.0,1.0,0.0
17,0.0,0.0,1.0,0.0
18,0.5,0.0,0.735,0.265
19,0.0,0.0,1.0,0.0
20,0.0,0.0,1.0,0.0
21,0.0,0.07,0.804,0.126
22,0.25,0.0,0.905,0.095
23,0.0,1.0,0.0,0.0
24,0.0,0.0,1.0,0.0
25,0.0,0.0,1.0,0.0
26,0.0,0.0,1.0,0.0
27,0.0,0.0,1.0,0.0
28,0.0,0.0,1.0,0.0
29,0.0,0.0,1.0,0.0
30,0.0,0.0,1.0,0.0
31,0.0,0.0,1.0,0.0
32,0.0,0.0,1.0,0.0
33,0.35,0.0,0.588,0.412
34,0.5,0.0,0.662,0.338
35,0.5,0.0,0.0,1.0
36,0.6,0.0,0.734,0.266
37,0.0,0.0,1.0,0.0
38,0.5,0.0,0.0,1.0
39,0.0,1.0,0.0,0.0
40,0.04910714285714285,0.0,0.923,0.077
41,0.0,0.0,1.0,0.0
42,0.15833333333333333,0.0,0.769,0.231
43,0.24,0.0,0.921,0.079
44,0.0,0.0,1.0,0.0
45,0.0,0.0,1.0,0.0
46,0.0,0.0,1.0,0.0
47,0.0,0.0,1.0,0.0
48,0.5,0.0,0.725,0.275
49,0.0,0.0,1.0,0.0
50,0.0,0.0,1.0,0.0
51,0.2857142857142857,0.0,1.0,0.0
52,-0.1875,0.0,1.0,0.0
